,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
560,라 마스코타 카베르네 소비뇽,LA MASCOTA CABERNET SAUVIGNON,Red,아르헨티나,멘도자,페나플로,14%,카베르네 소비뇽 100%,,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1807
561,끌로 씨프레스,CLOS CYPRES,Red,스페인,DOCa 프리오라트,코스테르 델 프리오라트,14.5%,까리냥 100%,,4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1800
562,루이 라뚜르 에세죠 그랑 크뤼,LOUIS LATOUR ECHEZEAUX GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 본 로마네",루이 라뚜르,14%,피노 누아 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1794
563,루이 라뚜르 샤름 샹베르땡 그랑 크뤼,LOUIS LATOUR CHARMES-CHAMBERTIN GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 제브리 샹베르땡",루이 라뚜르,14%,피노 누아 100%,,4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1793
564,루이 라뚜르 풀리니 몽라쉐,LOUIS LATOUR PULIGNY-MONTRACHET,White,프랑스,"부르고뉴, 꼬뜨 드 본, 풀리니 몽라쉐",루이 라뚜르,13.5%,샤르도네 100%,"200,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1792
565,루이 라뚜르 볼네 1등급 레 미땅,LOUIS LATOUR VOLNAY 1ER CRU LES MITANS,Red,프랑스,"부르고뉴, 볼네",루이 라뚜르,13.5%,피노 누아 100%,"250,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1790
566,루이 라뚜르 본 로마네 레 프티 몽,LOUIS LATOUR VOSNE ROMANEE LES PETITS MONTS,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 본 로마네 프리미에 크뤼",루이 라뚜르,13.5%,피노 누아 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1789
567,루이 라뚜르 바따르 몽라쉐 그랑 크뤼,LOUIS LATOUR BATARD-MONTRACHET GRAND CRU,White,프랑스,"부르고뉴, 꼬뜨 드 본",루이 라뚜르,13%,샤르도네 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1787
568,루이 라뚜르 마콩 샤므르와,LOUIS LATOUR MACON CHAMEROY,White,프랑스,"부르고뉴, 마코네, 마콩",,,샤르도네 100%,,,https://www.winenara.com/goods/goods_view.php?goodsNo=1785
569,루이 라뚜르 끌로 부조 그랑 크뤼,LOUIS LATOUR CLOS VOUGEOT GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",루이 라뚜르,14%,피노 누아 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1783
570,루이 라뚜르 그랑 아데슈 샤르도네,LOUIS LATOUR GRAND ARDECHE CHARDONNAY,White,프랑스,론-아데슈,루이 라뚜르,13%,샤르도네 100%,"50,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1781
571,마셋 쉬라 레세르바,MASET SYRAH RESERVA,Red,스페인,카탈루냐 DO,마셋,14%,쉬라 100%,,3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1780
572,락베어 아들레이드 힐 샤르도네,ROCKBARE ADELAIDE HILLS CHARDONNAY,White,호주,"남호주, 아들레이드 힐",잭슨 패밀리 와인즈,12.5%,샤르도네 100%,,3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1768
573,수산나 발보 시그니처 말벡,SUSANA BALBO SIGNATURE MALBEC,Red,아르헨티나,"멘도자, 알타미라",수산나 발보,14%,말벡 100%,,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1765
574,수산나 발보 브리오소,SUSANA BALBO BRIOSO,Red,아르헨티나,"멘도자, 루한 데 쿠요",수산나 발보,14%,"카베르네 소비뇽, 카베르네 프랑, 말벡, 쁘띠 베르도",,4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1764
575,수산나 발보 노소트로스,SUSANA BALBO NOSOTROS,Red,아르헨티나,"멘도자, 알타미라",수산나 발보,14.5%,말벡 100%,,4.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1763
576,브레머튼 월터스 리저브 카베르네 소비뇽,BREMERTON WALTER'S RESERVE CABERNET SAUVIGNON,Red,호주,랑혼,브레머튼 와인즈,-,카베르네 소비뇽 100%,"75,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1712
577,브레머튼 올드 아담 쉬라즈,BREMERTON OLD ADAM SHIRAZ,Red,호주,랑혼,브레머튼 와인즈,-,쉬라즈 100%,"80,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1711
578,브레머튼 셀커크 쉬라즈,BREMERTON SELKIRK SHIRAZ,Red,호주,랑혼,브레머튼 와인즈,-,쉬라즈 100%,"36,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1710
579,에 빔 블랑,ET BIM BLANC,White,프랑스,"남서부, 꼬뜨 드 가스꼬뉴",Castets Family,-,"콜롬바르, 소비뇽 블랑, 그로 망상","20,000원",3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1682
580,모리스 가비네 오뜨 꼬뜨 드 뉘 레 담 위게뜨,MAURICE GAVIGNET HAUTES COTES DE NUITS LES DAMES HOGUETTES,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘",모리스 가비네,-,피노 누아 100%,"65,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1679
581,모리스 가비네 뉘 생 조르쥬,MAURICE GAVIGNET NUITS SAINT GEORGES,Red,프랑스,"부르고뉴, 뉘 생 조르쥬",모리스 가비네,-,피노 누아 100%,"150,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1677
582,도멘 베르타냐 부조 프리미에 크뤼 레 프티 부조,DOMAINE BERTAGNA VOUGEOT PREMIER CRU LES PETITS VOUGEOTS,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,-,피노 누아 100%,"230,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1671
583,도멘 베르타냐 부조 프리미에 크뤼 레 크라,DOMAINE BERTAGNA VOUGEOT PREMIER CRU LES CRAS,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,-,피노 누아 100%,"240,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1670
584,도멘 베르타냐 부조 프리미에 크뤼 레 크라 블랑,DOMAINE BERTAGNA VOUGEOT PREMIER CRU LES CRAS BLANC,White,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,-,샤르도네 100%,"270,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1669
585,도멘 베르타냐 부르고뉴 블랑 레 크로아 블랑쉐,DOMAINE BERTAGNA BOURGEGNE BLANC LES CROIX BLANCHES,White,프랑스,"부르고뉴, 꼬뜨 드 뉘",도멘 베르타냐,-,샤르도네(Chardonnay) 100%,"55,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1667
586,도멘 베르타냐 본 로마네 프리미에 크뤼 레 보몽,DOMAINE BERTAGNA VOSNE ROMANEE PREMIER CRU LES BEAUX MONT,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 본 로마네",도멘 베르타냐,-,피노 누아 100%,"260,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1666
587,도멘 베르타냐 뉘 생 조르쥬 프리미에 크뤼 레 뮈르제,DOMAINE BERTAGNA NUITS SAINT GEORGES PREMIER CRU LES MURGES,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 뉘 생 조르쥬",도멘 베르타냐,-,피노 누아 100%,"260,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1665
588,도멘 베르타냐 끌로 생 드니 그랑 크뤼,DOMAINE BERTAGNA CLOS ST. DENIS GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드뉘, 모레 생 드니, 끌로 생 드니",도멘 베르타냐,-,피노 누아 100%,"450,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1664
589,도멘 베르타냐 끌로 드 부조 그랑크뤼,DOMAINE BERTAGNA CLOS DE VOUGEOT GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,-,피노누아 100%,"520,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1663
590,산타 아나 리저브 말벡,SANTA ANA RESERVE MALBEC,Red,아르헨티나,멘도자 (Mendoza),보데가 산타 아나(Bodegas Santa Ana),-,말벡 (Malbec) 100%,"22,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1651
591,에라주리즈 더 블랜드,ERRAZURIZ THE BLEND,Red,칠레,아콩카구아 밸리,비냐 에라주리즈 (Errazuriz),14%,"그르나슈 45%, 무르베드르 30%, 시라 25%","99,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1650
592,에스쿠도 로호 리제르바 소비뇽 블랑,ESCUDO ROJO RESERVA SAUVIGNON BLANC,White,칠레,카사블랑카 밸리,바롱필립 드 로칠드 칠레,13.5%,소비뇽 블랑 100%,"34,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1646
593,알파카 카르메네르,ALPACA CARMENERE,Red,칠레,센트럴 밸리,,,"카르메네르(Carmenere) 85%, 시라(Syrah) 15%","15,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1643
594,알파카 카베르네 메를로,ALPACA CABERNET MERLOT,Red,칠레,센트럴 밸리,,,"카베르네 소비뇽(Cabernet Sauvignon) 70%, 메를로(Merlot) 30%","9,900원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1641
595,하라스 데 피르케 레제르바,HARAS DE PIRQUE RESERVA,Red,칠레,마이포 밸리,하라스 데 피르케 (Haras de Pirque),-,까베르네 소비뇽 & 까르메네르 & 까베르네 프랑,,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1640
596,디안느 소비뇽 블랑,DIANE,White,프랑스,보르도,앙드레 뤼통 (Andre Lurton),13%,소비뇽 블랑 100%,"45,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1637
597,헤리티지,HERITAGE,Red,프랑스,"보르도, 뤼삭 생떼밀리옹",앙드레 뤼통 (Andre Lurton),13%,"메를로(Merlot) 65%, 카베르네 프랑(Cabernet Franc) 25%, 카베르네 소비뇽(Cabernet Sauvignon) 10%","70,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1636
598,샴페인 팔머 아마존 드 팔머,CHAMPAGNE PALMER AMAZONE DE PALMER,Champagne,프랑스,"상파뉴, 몽따뉴 드 랭스(Montagne de Reims) 그랑 크뤼 & 프리미에 크뤼",샴페인 팔머 (Champagne Palmer & Co),-,"샤르도네 (Chardonnay) 50%, ,피노 누아 (Pinot Noir) 50%","400,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1630
599,샴페인 팔머 블랑 드 누아,CHAMPAGNE PALMER BLANC DE NOIR,Champagne,프랑스,"상파뉴, 몽따뉴 드 랭스(Montagne de Reims) , 꼬뜨 데 바르(Cote des Bar), 마르네 밸리(Marne Valley)",샴페인 팔머 (Champagne Palmer & Co),-,"피노 누아 (Pinot Noir) 50%, 피노 므니에 (Pinot Meunier) 15% (+ Reserve Wines)","195,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1628
600,샴페인 팔머 블랑 드 블랑,CHAMPAGNE PALMER BLANC DE BLANC,Champagne,프랑스,"상파뉴, 몽따뉴 드 랭스(Montagne de Reims) Villers-Marmery& Trapil, 프리미에 크뤼, 꼬뜨 드 세잔느 (Cote de Sezanne)",샴페인 팔머 (Champagne Palmer & Co),-,샤르도네 (Chardonnay) 100%,"195,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1627
601,빌라 돈 막시미아노,VILLA DON MAXIMIANO,Red,칠레,아콩카구아 밸리,비냐 에라주리즈 (Vina Errazuriz),13.5%,"카베르네 소비뇽 40%, 쁘띠 베르도 25%, 말벡 20%, 카베르네 프랑 15%","130,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1625
602,샴페인 발렌틴 르플레이브 브뤼 로제,VALENTIN LEFLAIVE ROSE BRUT,Champagne,프랑스,"상파뉴 , 몽따뉴 드 랭(Montagne de Reims)",샴페인 발렌틴 르플레이브 (Champagne Valentin Leflaive),-,"피노누아 ( Pinot Noir ) 100% (30% 부르고뉴 와인 배럴에 숙성), 45년 수령의 올드바인",,4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1624
603,샴페인 발렌틴 르플레이브 엑스트라 브뤼 블랑 드 블랑,VALENTIN LEFLAIVE BLANC DE BLANCS EXTRA BRUT,Champagne,프랑스,"상파뉴 , 꼬뜨 드 블랑 ( Cote des Blancs),그로베 1er(Grauves 1er)",샴페인 발렌틴 르플레이브 (Champagne Valentin Leflaive),12.5%,샤르도네 ( Chardonnay ) 100% (30% 부르고뉴 와인 배럴에 숙성) 45년 수령의 올드바인,"180,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1623
604,로시뇰 코르누 부르고뉴 샤르도네,ROSSIGNOL CORNU BOURGOGNE COTE D'OR CHARDONNAY,White,프랑스,부르고뉴,로시뇰 코르우 에 피스 ( Rossignol Cornu et Fils,-,샤르도네 (Chardonnay),"45,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1597
605,도멘 라 바로쉬 샤또네프 뒤 파프 퓨어,DOMAINE LA BARROCHE PURE CDP,Red,프랑스,샤토네프 뒤 파프 (Chateauneuf du Pape),도멘 라 바로쉬(Domaine La Barroche),15%,"그르나슈 97%, 그 외 3%","290,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1596
606,도멘 라 바로쉬 줄리안 바롯 샤또네프 뒤 파프,DOMAINE LA BARROCHE JULIEN BARROT CDP,Red,프랑스,샤또네프 뒤 파프(Chateauneuf du Pape),도멘 라 바로쉬(Domaine La Barroche),15%,"그르나슈 62%, 무베드르 18%, 시라 13%, &#50073;쏘 5%, 그 외 2%","128,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1595
607,티렐 VAT 1 헌터 세미용,TYRRELL VAT 1 HUNTER SEMILLON,White,호주,"사우스웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),11.5%,세미용 (Semillon) 100%,"128,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1589
608,티렐 헌터 쉬라즈,TYRRELL HUNTER SHIRAZ,Red,호주,"뉴사우스 웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),13.5%,쉬라즈 (Shiraz) 100%,"60,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1588
609,티렐 VAT 9 헌터 쉬라즈,TYRRELL VAT 9 HUNTER SHIRAZ,Red,호주,"뉴사우스 웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),14%,쉬라즈 (Shiraz) 100%,"128,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1586
610,티렐 스티븐스 헌터 쉬라즈,TYRRELL STEVENS HUNTER SHIRAZ,Red,호주,"뉴사우스웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),13%,쉬라즈 (Shiraz) 100%,"90,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1585
611,티렐 VAT 47 헌터 샤르도네,TYRRELL VAT 47 HUNTER CHARDONNAY,White,호주,"사우스웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),12.5%,샤르도네 (Chardonnay) 100%,"128,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1582
612,셀리에 데 프린스 지공다스,CELLIER DES PRINCES GIGONDAS,Red,프랑스,"남부 론 (Southern Rhone), 지공다스(Gigondas)",셀리에 데 프린스 (Cellier des Princes),14.5%,"그르나슈 80%, 시라 10%, 무르베드르 5%, 쌩소 5%","60,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1560
613,고네 메디빌 르 메닐 쉬르 오제 샴 달루엣 그랑크뤼,GONET MEDEVILLE LE MENSIL SUR OGER CHAMP D'ALOUETTE GRAND CRU,Champagne,프랑스,"상파뉴, 꼬뜨 드 블랑 , 르 메닐 쉬르 오제 , 샴 달루엣",고네 메디빌 ( GONET MEDEVILLE),13%,샤르도네 100%,"390,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1549
614,도멘 꾸들레 비오니에,DOMAINE COUDOULET VIOGNIER,White,프랑스,"랑그독 루시옹 , 미네르부아",Domaine Coudoulet,-,비오니에 100%,"22,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1546
615,도멘 꾸들레 시라,DOMAINE COUDOULET SYRAH,Red,프랑스,"랑그독 루시옹 , 미네르부아",Domaine Coudoulet,-,시라 100%,"22,000원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1545
616,안나 드 끌로 듀브레일 생떼밀리옹 그랑크뤼,ANNA DE CLOS DUBREUIL,Red,프랑스,"프랑스, 보르도,쌩떼밀리옹",끌로 듀브레일 (CLOS DUBREIL),-,"메를로 90% , 카베르네 프랑 10%","200,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1544
617,파토리아 르 푸필레 사프레디,FATTORIA LE PUPILLE SAFFREDI,Red,이탈리아,"토스카나, 마렘마",Fattoria Le Pipille (파토리아 르 푸필레),14.5%,"Cabernet Sauvignon (카베르네소비뇽) 60%, Merlot (메를로) 30%, Petit Verdot (프티 베르도) 10%","270,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1529
618,일 리리스 레드 블랜드,IL LIRIS RED BLEND,Red,호주,"그레이트 서던(Great Southern), 프랜크랜드 리버",카스텔리 에스테이트,14.7%,"카베르네 소비뇽 57%, 쉬라즈 35%, 말벡 8%","150,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1528
619,일 리리스 샤르도네,IL LIRIS CHARDONNAY,White,호주,"그레이트 서던(Great Southern), 덴마크 (Denmark)",카스텔리 에스테이트,12.8%,샤르도네 (Chardonnay) 100%,"140,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1527
620,맥스 리제르바 지에스엠,MAX RESERVA GSM,Red,칠레,아콩카구아 밸리,비냐 에라주리즈 (Vina Errazuriz),14%,"그르나슈(Grenache) 45%, 시라(Syrah) 35%, 무베드르(Mouvedre) 20%","44,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1514
621,샤또 드 샤미레 메르퀴레 1등급 ‘라 미씨옹’,CHATEAU CHAMIREY MERCUREY 1ER CRU WHITE 'LA MISSION',White,프랑스,"부르고뉴, 꼬뜨 샬로네즈, 메르퀴레",샤또 드 샤미레(Chateau de Chamirey),13.5%,샤르도네 (Chardonnay),"160,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1501
622,시모네 페브르 샤블리,SIMONNET FEBVRE CHABLIS,White,프랑스,"부르고뉴, 샤블리",시모네 페브르 (Simonnet Febvre),13%,샤르도네 (Chardonnay) 100%,"59,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1494
623,펫저 카베르네 소비뇽,FETZER CABERNET SAUVIGNON,Red,미국,"캘리포니아, 멘도치노 카운티, 안토니즈 힐",펫져 (Fetzer),13.5%,카베르네 소비뇽 100%,"40,000원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1479
624,마르쿠스 몰리터 젤팅거 존넨우어 리슬링 아우스레제,MARKUS MOLITOR ZELTINGER SONNENUHR RIESLING AUSLESE,White,독일,모젤,마르쿠스 몰리터 (Markus Molitor),7.5%,리슬링 (Riesling) 100%,"250,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1468
625,샤또 드 샤미레 메르퀴레 1등급 “끌로 뒤 루아”,CHATEAU CHAMIREY MERCUREY 1ER CRU 'RED' CLOS DU ROI,Red,프랑스,"부르고뉴, 꼬뜨 샬로네즈, 메르퀴레",샤또 드 샤미레 (Chateau de Chamirey)/Devillard Family,13%,피노 누아 (Pinot Noir),"144,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1465
626,말푸에스토,MALPUESTO,Red,스페인,"스페인, 리오하",보데가스 오르벤 /아르테비노 (Bodegas Orben / Artevino),14%,템프라니요 (Tempranillo) 100%,"120,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1439
627,샤또 꾸엥스-뤼통 화이트,CHATEAU COUHINS LURTON WHITE,White,프랑스,"프랑스, 보르도, 뻬삭 레오냥",앙드레 뤼통 (Andre Lurton),12.5%,소비뇽 블랑(Sauvignon Blanc) 100%,"120,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1434
628,보리우 빈야드(BV) 조르쥬 드 라뚜르 프라이빗 리저브 카베르네 소비뇽,BV GDL PRIV RESERVE CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아, 나파밸리 (Napa Valley)",보리우 빈야드(Beaulieu Vineyard),15.2%,"까베르네 소비뇽 94%, 쁘띠 베르도 6%","350,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1430
629,보리우 빈야드(BV) 러더포드 카베르네 소비뇽,BV RUTHERFORD CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아, 나파밸리, 러더포드(Rutherford) AVA",보리우 빈야드(Beaulieu Vineyard),14.6%,"까베르네 소비뇽 90%, 쁘띠 베르도 4%, 메를로 3%, 말벡 3%","150,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1429
630,더 페데럴리스트 어니스트 레드 블렌드,THE FEDERALIST HONEST RED BLEND,Red,미국,"캘리포니아, 노스 코스트",: 텔라토 패밀리 빈야드,14.5%,"메를로 (Merlot) 55%, 진판델 (Zinfandel) 30%, 까베르네 소비뇽 (Cabernet Sauvignon) 15%","100,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1409
